Survival Obtainable,Name,Id,Stackability,Storage,Numerical Id,Stack Size,Survival Obtainable
YES,Stone,stone,64 Stackable,-,1,64,TRUE
YES,Granite,granite,64 Stackable,-,2,64,TRUE
YES,Polished Granite,polished_granite,64 Stackable,-,3,64,TRUE
YES,Diorite,diorite,64 Stackable,-,4,64,TRUE
YES,Polished Diorite,polished_diorite,64 Stackable,-,5,64,TRUE
YES,Andesite,andesite,64 Stackable,-,6,64,TRUE
YES,Polished Andesite,polished_andesite,64 Stackable,-,7,64,TRUE
YES,Deepslate,deepslate,64 Stackable,-,8,64,TRUE
YES,Cobbled Deepslate,cobbled_deepslate,64 Stackable,-,9,64,TRUE
YES,Polished Deepslate,polished_deepslate,64 Stackable,-,10,64,TRUE
YES,Calcite,calcite,64 Stackable,-,11,64,TRUE
YES,Tuff,tuff,64 Stackable,-,12,64,TRUE
YES,Dripstone Block,dripstone_block,64 Stackable,-,13,64,TRUE
YES,Grass Block,grass_block,64 Stackable,-,14,64,TRUE
YES,Dirt,dirt,64 Stackable,-,15,64,TRUE
YES,Coarse Dirt,coarse_dirt,64 Stackable,-,16,64,TRUE
YES,Podzol,podzol,64 Stackable,-,17,64,TRUE
YES,Rooted Dirt,rooted_dirt,64 Stackable,-,18,64,TRUE
YES,Mud,mud,64 Stackable,-,19,64,TRUE
YES,Crimson Nylium,crimson_nylium,64 Stackable,-,20,64,TRUE
YES,Warped Nylium,warped_nylium,64 Stackable,-,21,64,TRUE
YES,Cobblestone,cobblestone,64 Stackable,-,22,64,TRUE
YES,Oak Planks,oak_planks,64 Stackable,-,23,64,TRUE
YES,Spruce Planks,spruce_planks,64 Stackable,-,24,64,TRUE
YES,Birch Planks,birch_planks,64 Stackable,-,25,64,TRUE
YES,Jungle Planks,jungle_planks,64 Stackable,-,26,64,TRUE
YES,Acacia Planks,acacia_planks,64 Stackable,-,27,64,TRUE
YES,Dark Oak Planks,dark_oak_planks,64 Stackable,-,28,64,TRUE
YES,Mangrove Planks,mangrove_planks,64 Stackable,-,29,64,TRUE
YES,Crimson Planks,crimson_planks,64 Stackable,-,30,64,TRUE
YES,Warped Planks,warped_planks,64 Stackable,-,31,64,TRUE
YES,Oak Sapling,oak_sapling,64 Stackable,-,32,64,TRUE
YES,Spruce Sapling,spruce_sapling,64 Stackable,-,33,64,TRUE
YES,Birch Sapling,birch_sapling,64 Stackable,-,34,64,TRUE
YES,Jungle Sapling,jungle_sapling,64 Stackable,-,35,64,TRUE
